"주택유형(1)","지역(1)","지역(2)",지역(3),주택규모(1),2015. 01,2015. 02,2015. 03,2015. 04,2015. 05,2015. 06,2015. 07,2015. 08,2015. 09,2015. 10,2015. 11,2015. 12,2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07
"아파트","서울","강북권역",도심권,규모2,87.5,87.9,88.2,88.7,88.9,89.3,89.7,90.0,90.4,90.7,91.2,91.5,91.6,91.7,91.7,91.8,92.0,92.2,92.6,93.0,93.4,93.8,94.3,94.5,94.7,94.8,95.2,95.6,96.1,97.0,97.8,98.9,99.1,99.3,100.0,100.6,101.6,104.5,106.0,106.8,107.4,107.7,108.2,110.0,112.0,112.4,112.6,112.6,112.1,111.6,111.1,110.7,110.3,110.3,110.3,110.9,111.3,112.0,112.7,113.8,114.0,114.3,114.5,114.5,114.3,114.4,116.0
"아파트","서울","강북권역",도심권,규모3,91.9,92.1,92.4,92.8,93.1,93.2,93.3,93.5,93.6,94.1,94.3,94.5,94.5,94.5,94.6,94.6,94.7,94.9,95.0,95.4,95.7,96.0,96.5,96.7,96.8,96.9,97.0,97.2,97.5,98.1,98.6,99.1,99.2,99.6,100.0,100.4,101.6,103.8,104.9,105.7,106.4,107.0,107.8,109.7,111.3,112.0,112.3,112.1,111.8,111.6,111.4,111.1,111.0,110.8,110.8,110.9,111.2,111.7,112.3,113.0,113.5,113.7,113.8,113.8,113.7,113.8,114.9
"아파트","서울","강북권역",도심권,규모4,92.4,92.4,92.4,92.5,92.5,92.8,92.9,92.9,92.9,92.9,93.0,93.2,93.2,93.3,93.4,93.5,93.5,93.9,94.5,94.5,94.9,95.6,95.8,96.1,96.1,96.2,96.7,97.1,97.5,98.3,99.5,99.9,100.0,100.0,100.0,100.0,100.0,102.2,103.0,103.2,103.7,105.1,105.5,107.4,108.2,108.9,109.2,109.2,109.2,109.2,108.9,108.1,108.1,108.1,107.8,107.8,107.9,108.8,109.7,110.6,111.2,111.4,111.5,111.4,111.2,111.0,111.8
"아파트","서울","강북권역",동북권,규모2,85.7,86.0,86.6,87.4,88.1,88.7,89.3,90.0,90.8,91.5,92.3,92.9,93.0,93.0,93.1,93.2,93.3,93.4,93.7,94.1,94.5,95.1,96.1,96.3,96.3,96.4,96.4,96.6,97.1,98.0,99.0,99.7,99.6,99.8,100.0,100.4,101.0,101.7,102.3,102.4,102.6,103.0,103.2,103.9,105.7,106.4,106.7,106.5,106.1,105.8,105.5,104.9,104.7,104.5,104.6,104.7,105.0,105.5,106.0,106.6,107.1,107.5,107.8,108.1,108.0,108.1,109.8
"아파트","서울","강북권역",동북권,규모3,90.3,90.4,90.8,91.3,91.6,92.1,92.6,93.2,94.0,94.8,95.5,95.8,95.8,95.9,95.9,96.0,96.0,96.1,96.3,96.4,96.7,97.1,97.4,97.5,97.5,97.5,97.6,97.6,98.0,98.7,99.1,99.5,99.5,99.7,100.0,100.5,101.2,102.1,102.9,103.2,103.5,103.8,104.3,105.0,106.6,107.2,107.4,107.4,107.1,106.8,106.5,106.3,106.1,106.0,106.0,106.1,106.3,106.8,107.4,108.0,108.4,108.6,108.9,109.1,109.0,109.2,110.5
"아파트","서울","강북권역",동북권,규모4,89.7,90.3,90.7,91.6,91.9,92.2,93.1,93.7,94.3,94.8,95.9,96.2,96.2,96.3,96.2,96.3,96.2,96.3,96.3,96.1,96.5,96.9,97.9,98.0,98.0,97.8,97.8,98.0,98.3,98.8,99.1,99.4,99.7,99.7,100.0,99.7,100.3,100.8,101.2,101.8,102.3,102.2,102.5,103.3,105.0,106.1,106.3,106.1,106.0,105.7,105.5,105.7,105.5,105.5,105.5,105.7,105.9,106.5,107.4,108.1,108.6,109.0,109.5,109.7,109.6,109.6,111.8
"아파트","서울","강북권역",서북권,규모2,87.4,87.5,87.9,88.2,88.4,88.8,89.1,89.5,90.0,90.7,91.3,91.6,91.7,91.8,91.9,92.0,92.2,92.6,93.1,93.7,94.1,94.6,95.1,95.4,95.7,95.9,96.2,96.7,97.2,98.2,98.7,99.3,99.5,99.7,100.0,100.4,101.2,102.7,104.0,104.6,105.4,106.1,106.6,107.7,109.5,110.3,110.4,110.3,109.9,109.5,109.3,108.8,108.8,108.6,108.8,109.2,109.6,110.4,111.0,111.7,112.3,112.6,113.0,113.0,112.9,113.1,114.1
"아파트","서울","강북권역",서북권,규모3,89.8,89.9,90.1,90.5,90.7,91.1,91.5,91.8,92.2,92.8,93.2,93.4,93.6,93.7,93.7,93.8,94.0,94.2,94.5,94.9,95.2,95.6,96.1,96.4,96.6,96.7,97.0,97.4,97.8,98.4,98.9,99.3,99.5,99.7,100.0,100.3,100.8,102.0,103.0,103.7,104.3,105.1,105.8,107.0,108.5,109.3,109.3,109.3,108.9,108.5,108.2,108.1,107.9,107.9,107.9,108.0,108.2,108.5,109.1,109.8,110.1,110.3,110.5,110.4,110.2,110.1,111.7
"아파트","서울","강북권역",서북권,규모4,93.1,93.2,93.5,93.6,93.6,94.0,94.1,94.4,94.7,95.0,95.4,95.5,95.9,96.0,96.1,96.4,96.6,97.0,97.5,97.8,97.9,98.2,98.3,98.4,98.5,98.9,99.0,99.1,99.2,99.6,99.9,99.9,100.1,100.1,100.0,100.0,99.7,99.7,99.7,99.5,100.1,100.6,101.0,101.9,103.0,103.2,103.2,103.2,103.1,103.0,103.0,103.0,103.0,103.0,103.4,103.7,103.7,103.9,104.1,104.8,104.9,105.1,105.2,105.1,105.0,104.9,104.9
"아파트","서울","강남권역",서남권,규모2,84.4,84.7,85.0,85.8,86.5,87.3,87.8,88.4,89.0,89.8,90.6,91.2,91.5,91.5,91.6,91.7,91.9,92.3,92.7,93.3,93.7,94.4,95.0,95.3,95.5,95.6,95.9,96.4,97.0,97.9,98.5,99.3,99.4,99.6,100.0,100.7,101.6,102.5,103.1,103.5,103.8,104.2,105.0,106.0,107.9,108.6,108.7,108.6,108.3,108.1,107.8,107.3,107.2,107.1,107.2,107.3,107.5,108.0,108.8,110.1,110.8,111.2,111.5,111.8,111.9,112.2,113.9
"아파트","서울","강남권역",서남권,규모3,86.8,87.0,87.3,87.9,88.5,89.2,89.7,90.1,90.8,91.4,92.1,92.6,92.8,92.9,92.9,92.9,93.1,93.4,93.8,94.1,94.5,95.1,95.7,96.0,96.1,96.2,96.4,96.8,97.3,98.2,98.6,99.3,99.3,99.4,100.0,100.7,101.5,102.6,103.2,104.1,104.6,105.0,105.8,106.9,109.0,109.5,109.5,109.4,109.1,108.9,108.6,108.3,108.0,107.8,107.9,108.1,108.2,108.8,109.6,110.9,111.5,111.7,111.9,112.1,112.1,112.3,113.4
